system:index,LC_Prop1,LC_Prop1_Assessment,LC_Prop2,LC_Prop2_Assessment,LC_Prop3,LC_Prop3_Assessment,LC_Type1,LC_Type2,LC_Type3,LC_Type4,LC_Type5,LW,Latitude,Longitude,QC,ID,mode,.geo
0,42,99,40,99,40,99,7,7,2,1,5,2,-43.90241385,-65.76509847,0,1,8,"{""type"":""Point"",""coordinates"":[-65.76509647775707,-43.90241385428041]}"
1,31,92,30,92,30,92,10,10,1,6,6,2,-49.14997,-71.487126,0,2,8,"{""type"":""Point"",""coordinates"":[-71.48712642706516,-49.14996869689553]}"
2,31,86,30,86,30,86,10,10,1,6,6,2,-35.436814,-68.001143,0,3,8,"{""type"":""Point"",""coordinates"":[-68.00114391471486,-35.436814963414456]}"
3,42,99,40,99,40,99,7,7,2,1,5,2,-38.691321,-67.027077,0,4,8,"{""type"":""Point"",""coordinates"":[-67.02707558509489,-38.69132108097931]}"
4,31,99,30,99,30,99,10,10,1,6,6,2,-34.023781,-65.63239,0,5,8,"{""type"":""Point"",""coordinates"":[-65.63238917130546,-34.0237793487901]}"
5,43,99,40,99,40,99,7,7,2,1,5,2,-39.088162,-69.058273,0,6,8,"{""type"":""Point"",""coordinates"":[-69.0582719196574,-39.088163238331774]}"
6,31,99,36,99,30,99,12,12,1,6,7,2,-32.033513,-63.779423,0,7,8,"{""type"":""Point"",""coordinates"":[-63.77942310584919,-32.03351310279717]}"
7,31,84,36,98,30,84,12,12,3,5,8,2,-24.185186,-55.118802,0,8,1,"{""type"":""Point"",""coordinates"":[-55.11880097130973,-24.18518757075974]}"
8,22,99,20,99,20,99,9,9,4,4,4,2,-21.815828,-62.089606,0,9,7,"{""type"":""Point"",""coordinates"":[-62.089606629736394,-21.815826389607054]}"
9,22,86,20,71,20,71,9,9,4,4,4,2,-24.780189,-62.338143,0,10,7,"{""type"":""Point"",""coordinates"":[-62.33814354515231,-24.780187719826298]}"
0000000000000000000a,22,98,20,98,20,98,9,9,4,4,4,2,-28.596666,-54.787618,0,11,7,"{""type"":""Point"",""coordinates"":[-54.78761907696925,-28.596665424954818]}"
0000000000000000000b,1,99,1,99,1,99,16,15,9,7,11,2,-25.32747069,-70.14037748,0,12,13,"{""type"":""Point"",""coordinates"":[-70.14037534960028,-25.327471028519916]}"
0000000000000000000c,31,99,30,99,30,99,10,10,1,6,6,2,-22.171504,-51.666539,0,13,1,"{""type"":""Point"",""coordinates"":[-51.666538181125624,-22.171502126034113]}"
0000000000000000000d,31,99,30,99,30,99,10,10,1,6,6,2,-22.59471464,-49.95763879,0,14,7,"{""type"":""Point"",""coordinates"":[-49.95763675250407,-22.59471540701666]}"
0000000000000000000e,1,99,1,99,1,99,16,15,9,7,11,2,-20.199672,-67.390649,0,15,10,"{""type"":""Point"",""coordinates"":[-67.39064838948761,-20.19966980379613]}"
0000000000000000000f,12,99,10,99,10,99,2,2,5,2,2,2,-10.309415,-70.032083,0,16,1,"{""type"":""Point"",""coordinates"":[-70.03208162141628,-10.309414880960547]}"
10,12,99,10,99,10,99,2,2,5,2,2,2,-11.742246,-71.114795,0,17,1,"{""type"":""Point"",""coordinates"":[-71.11479594820348,-11.742244445161155]}"
11,12,99,10,99,10,99,2,2,5,2,2,2,-14.826428,-62.179807,0,18,1,"{""type"":""Point"",""coordinates"":[-62.17980532584551,-14.82642627978753]}"
12,12,99,10,99,10,99,2,2,5,2,2,2,-11.746512,-53.344691,0,19,1,"{""type"":""Point"",""coordinates"":[-53.3446896488826,-11.746511804869304]}"
13,21,73,20,73,20,73,8,8,4,4,4,2,-18.769628,-62.08026,0,20,7,"{""type"":""Point"",""coordinates"":[-62.080260353928374,-18.769627177753932]}"
14,31,99,30,99,30,99,10,10,1,6,6,2,-14.311033,-70.654118,0,21,10,"{""type"":""Point"",""coordinates"":[-70.65411730016987,-14.311034461828148]}"
15,22,79,20,79,20,79,9,9,4,4,4,2,-13.15045,-66.432657,0,22,7,"{""type"":""Point"",""coordinates"":[-66.43265511916529,-13.15045085334463]}"
16,31,91,30,91,30,91,10,10,1,6,6,2,-15.303158,-45.143605,0,23,7,"{""type"":""Point"",""coordinates"":[-45.14360463250707,-15.303157691613535]}"
17,31,99,30,99,30,99,10,10,1,6,6,2,-14.338407,-43.338407,0,24,2,"{""type"":""Point"",""coordinates"":[-43.338408916636354,-14.338408883195257]}"
18,22,88,20,88,20,88,9,9,1,4,4,2,-14.725375,-41.747071,0,25,2,"{""type"":""Point"",""coordinates"":[-41.74707168728891,-14.72537413171434]}"
19,31,99,30,99,30,99,10,10,1,6,6,2,-16.816896,-50.098511,0,26,1,"{""type"":""Point"",""coordinates"":[-50.098513132085586,-16.816897644428916]}"
0000000000000000001a,31,99,30,99,30,99,10,10,1,6,6,2,-11.043753,-39.966379,0,27,2,"{""type"":""Point"",""coordinates"":[-39.96637873170689,-11.043753019745177]}"
0000000000000000001b,12,99,10,99,10,99,2,2,5,2,2,2,-0.26432759,-71.26948175,0,28,1,"{""type"":""Point"",""coordinates"":[-71.26948216374751,-0.2643265922461648]}"
0000000000000000001c,12,99,10,99,10,99,2,2,5,2,2,2,-1.60555755,-71.55175781,0,29,1,"{""type"":""Point"",""coordinates"":[-71.5517566377338,-1.605557302606883]}"
0000000000000000001d,12,99,10,99,10,99,2,2,5,2,2,2,-2.678541517,-63.64802797,0,30,1,"{""type"":""Point"",""coordinates"":[-63.64802677510731,-2.678541870895458]}"
0000000000000000001e,12,99,10,99,10,99,2,2,5,2,2,2,-4.473253,-54.648013,0,31,1,"{""type"":""Point"",""coordinates"":[-54.64801354118798,-4.473254240189515]}"
0000000000000000001f,12,99,10,99,10,99,2,2,5,2,2,2,-4.928489,-69.128753,0,32,1,"{""type"":""Point"",""coordinates"":[-69.12875247090817,-4.928488325836858]}"
20,12,99,10,99,10,99,2,2,5,2,2,2,-5.881343,-58.987844,0,33,1,"{""type"":""Point"",""coordinates"":[-58.98784255965629,-5.8813447117456015]}"
21,12,99,10,99,10,99,2,2,5,2,2,2,-6.511772,-53.7028,0,34,1,"{""type"":""Point"",""coordinates"":[-53.70280005448484,-6.511772418681779]}"
22,12,99,10,99,10,99,2,2,5,2,2,2,-7.600934,-59.410057,0,35,1,"{""type"":""Point"",""coordinates"":[-59.410057002002866,-7.600934605592254]}"
23,12,99,10,99,10,99,2,2,5,2,2,2,-8.348099,-72.296481,0,36,1,"{""type"":""Point"",""coordinates"":[-72.2964800228719,-8.348097119006594]}"
24,12,99,10,99,10,99,2,2,5,2,2,2,-9.678935,-69.496133,0,37,1,"{""type"":""Point"",""coordinates"":[-69.49613334760052,-9.67893366481173]}"
25,12,99,10,99,10,99,2,2,5,2,2,2,-9.745056,-60.335094,0,38,1,"{""type"":""Point"",""coordinates"":[-60.335093056439156,-9.74505767433328]}"
26,22,97,20,97,20,97,9,9,4,4,4,2,-3.313982,-41.487668,0,39,2,"{""type"":""Point"",""coordinates"":[-41.48766794260575,-3.31398160741571]}"
27,31,93,30,93,30,93,10,10,1,6,6,2,-8.403021,-35.606546,0,40,1,"{""type"":""Point"",""coordinates"":[-35.60654618591282,-8.403019866681888]}"
28,12,99,10,99,10,99,2,2,5,2,2,2,9.733481,-83.245486,0,41,1,"{""type"":""Point"",""coordinates"":[-83.24548606343346,9.733481847998533]}"
